number,x,y,opinion,Q_pos,Q_neg,Q
0,0.8756004928657953,0.7502802715126848,Positive,0.6347658014473976,-0.2775128181429739,0.6347658014473976
1,0.5466205407312354,0.08774741747068249,Negative,0.7260785866234982,-0.3087350594908142,0.7260785866234982
2,0.13146957125383885,0.4180270883389565,Positive,0.1252585155316805,-0.029779208558856976,0.1252585155316805
3,0.4264951574809027,0.04366706664031628,Positive,0.5532004078773408,0.05175389197396057,0.5532004078773408
4,0.2597307143347314,0.9523345038540657,Negative,-0.29233276161034333,0.7116606611382984,0.7116606611382984
5,0.041310208844623775,0.6740452920408152,Positive,-0.1798619847504221,0.6673755795637724,0.6673755795637724
6,0.27545575239950815,0.1947014109892249,Positive,0.531057259044357,-0.006835356243794402,0.531057259044357
7,0.4738712955937562,0.06386286298383637,Positive,0.5918106222880867,0.10456694940691821,0.5918106222880867
8,0.25497365776022585,0.30409943707581133,Positive,0.36695423541419625,-0.2896800764990578,0.36695423541419625
9,0.09521685427038729,0.48044879486570624,Negative,-0.23608672049623047,0.49961334263214413,0.49961334263214413
10,0.570406268170738,0.6704725633794457,Positive,0.3629386226925151,-0.17278881662246015,0.3629386226925151
11,0.7958214357802016,0.9552623185949718,Positive,0.4289878752256019,0.32853077327178687,0.4289878752256019
12,0.5730662376348445,0.909471249871826,Negative,-0.5111010211929088,0.27244566308725743,0.27244566308725743
13,0.4723349895189731,0.7331852317259554,Positive,0.02120578963716155,-0.21001678114772576,0.02120578963716155
14,0.3727264821445422,0.24077081850012905,Positive,0.8074694441552572,-0.1972000028706406,0.8074694441552572
15,0.8759621662344264,0.12615738216325822,Positive,0.25242884927009024,-0.22165488369596115,0.25242884927009024
16,0.5334853655898251,0.22875420060762708,Positive,0.877835428085275,0.006313581420297393,0.877835428085275
17,0.2127035473006068,0.04015656069344309,Positive,0.14470748630889335,0.04525183614098174,0.14470748630889335
18,0.19529514129431758,0.6367630747576124,Negative,-0.08635356672589047,0.5794855394901753,0.5794855394901753
19,0.5603795563063126,0.2574426895076706,Positive,0.4780111924130506,-0.5416547676969738,0.4780111924130506
20,0.41053812734613937,0.20358635504564082,Positive,0.7073661196741228,0.06360384711020327,0.7073661196741228
21,0.6699169685479972,0.7251422962901013,Positive,0.7562265667243081,-0.006695880962412089,0.7562265667243081
22,0.7330495516050921,0.6879132703985491,Positive,0.5214766886110235,-0.05917518877262373,0.5214766886110235
23,0.3099390695332006,0.48610445290802995,Negative,-0.1993766194689492,0.02427699745234406,0.02427699745234406
24,0.43423542521906777,0.8096345859256558,Negative,0.17388230518635417,0.18762978951180098,0.18762978951180098
25,0.32618000077314646,0.046184381802605534,Positive,-0.07228030465745101,-0.25161479429369565,-0.07228030465745101
26,0.2594467756060941,0.03418263401160648,Positive,0.6479625536631127,-0.4518975340716044,0.6479625536631127
27,0.6781404906586662,0.7231920724040304,Positive,0.5186055409619641,-0.04355677602074441,0.5186055409619641
28,0.19575448071814094,0.6653100981043514,Negative,0.05580261934135421,0.43412779426461173,0.43412779426461173
29,0.3105164389165397,0.9672254446155102,Negative,-0.13740558173236775,0.5919396536995907,0.5919396536995907
30,0.5042022172763518,0.0801134000908893,Positive,0.5904186149400018,-0.4923389293193187,0.5904186149400018
31,0.2198863634874575,0.8608594403482553,Negative,-0.09190330010444762,0.7518317348129325,0.7518317348129325
32,0.6875477914810263,0.977794719423007,Negative,-0.024370814177792507,-0.03423125166903832,-0.024370814177792507
33,0.2809603055588562,0.1847990927657941,Positive,0.5296774877980798,-0.40862637414390185,0.5296774877980798
34,0.7619773526297811,0.7440092616931177,Positive,0.4602300624485413,-0.20807699838767513,0.4602300624485413
35,0.8541037529500489,0.6085972762534755,Positive,0.23684782717358632,-0.32099501297595395,0.23684782717358632
36,0.3531824908674409,0.812800789365185,Negative,0.23615953773545711,0.5760819136464042,0.5760819136464042
37,0.8554778358510118,0.1804483963039294,Negative,0.1781579388081619,0.26887250127874035,0.26887250127874035
38,0.07303782218387234,0.15992566634403982,Negative,-0.46027664626316034,0.07769798667583538,0.07769798667583538
39,0.7492386807163128,0.3933523326213879,Positive,0.22463203538587034,-0.10301143623922768,0.22463203538587034
40,0.019488504304632004,0.7302856133855569,Positive,0.4185705903337018,0.2717734356476483,0.4185705903337018
41,0.48470964533354655,0.8147413496656276,Positive,0.02692508569770348,-0.27669919949011296,0.02692508569770348
42,0.48527319898263066,0.8115488459011111,Negative,-0.36242525260010794,0.18866428998995927,0.18866428998995927
43,0.780351198047716,0.5871249939965211,Positive,0.5765035471085257,-0.3483580769143485,0.5765035471085257
44,0.6027009232107585,0.04914701281326439,Positive,0.7176412427846102,0.03755520199139366,0.7176412427846102
45,0.6455350296980795,0.5527467925035469,Positive,0.6693715306740362,-0.25864959574603436,0.6693715306740362
46,0.16080917238662962,7.94160732202287E-4,Positive,0.34738354302382,0.2586209609499695,0.34738354302382
47,0.43240264537073136,0.052223949013542326,Positive,0.5753714542880017,-0.17640167816345914,0.5753714542880017
48,0.7115981936032674,0.8630116548490873,Positive,0.14371515680281013,-0.24180695598716068,0.14371515680281013
49,0.8880813249502388,0.11031763585173626,Negative,-0.06830509673684355,0.39724643723300873,0.39724643723300873
50,0.8239244112699994,0.5510571728276483,Negative,0.17291869014207528,-0.05135624935619924,0.17291869014207528
51,0.8932677744748667,0.45107962661950907,Negative,-0.11808176255790241,0.30830071863670877,0.30830071863670877
52,0.8112105741776814,0.6000732877615584,Positive,0.5172446038653892,0.012411573592276522,0.5172446038653892
53,0.5706646985654434,0.6272123876484064,Positive,0.8142499925205688,-0.217049331206423,0.8142499925205688
54,0.2850041483923852,0.7026263887910718,Negative,0.04842342483891396,0.7057720616365396,0.7057720616365396
55,0.6539620871366297,0.9856924853520072,Positive,0.34062793146926434,-0.14180861911198023,0.34062793146926434
56,0.6311003972786546,0.7683327821110784,Negative,-0.3635970533654396,-0.14173000335716002,-0.14173000335716002
57,0.1732786281455828,0.4194549868798242,Positive,0.11537419020318027,-0.3644783468829486,0.11537419020318027
58,0.2745124401096939,0.5404723441765862,Negative,-0.11985033369074294,0.24209698262397977,0.24209698262397977
59,0.5322318739089698,0.2950874813802876,Positive,0.7698964796462127,0.2838639179070287,0.7698964796462127
60,0.2015610213933251,0.5104911478172927,Positive,0.08712912420469923,0.17238892063305886,0.17238892063305886
61,0.8232322742234495,0.7771058266846362,Positive,0.901527003924048,-0.4791639556229374,0.901527003924048
62,0.060367353293995674,0.37818393141857465,Negative,-0.014661832470733785,0.2779793768455099,0.2779793768455099
63,0.68696302000089,0.5638192989448312,Positive,0.6770442880156714,-0.4047479533684963,0.6770442880156714
64,0.8203283033264929,0.36409680230899066,Negative,-0.12108248163724679,0.3570095098777791,0.3570095098777791
65,0.64060488977498,0.39948702925058655,Positive,0.8260675767062188,-0.008637603758884498,0.8260675767062188
66,0.5745610100715038,0.3905656242929503,Negative,0.38391093285400596,-0.32468184235477504,0.38391093285400596
67,0.5005618334103586,0.20143448043492895,Positive,0.75692116556372,0.0036063485827850378,0.75692116556372
