number,x,y,opinion,Q_pos,Q_neg,Q
0,0.8756004928657953,0.7502802715126848,Negative,0.4631496921763035,-0.19946018630800438,0.4631496921763035
1,0.5466205407312354,0.08774741747068249,Positive,0.41170221974938154,-0.33407839927668703,0.41170221974938154
2,0.13146957125383885,0.4180270883389565,Positive,0.5457511196463946,-0.029779208558856976,0.5457511196463946
3,0.4264951574809027,0.04366706664031628,Positive,0.7049765999607174,0.11007889426908946,0.7049765999607174
4,0.2597307143347314,0.9523345038540657,Negative,-0.3530685143426994,0.2761154331250998,0.2761154331250998
5,0.041310208844623775,0.6740452920408152,Negative,-0.33775767190297457,0.3562046381121048,0.3562046381121048
6,0.27545575239950815,0.1947014109892249,Positive,0.17191417064942247,0.04543646711179537,0.17191417064942247
7,0.4738712955937562,0.06386286298383637,Positive,0.4496078057363692,0.12254135484769849,0.4496078057363692
8,0.25497365776022585,0.30409943707581133,Positive,0.08456721912679159,-0.2731079878372285,0.08456721912679159
9,0.09521685427038729,0.48044879486570624,Negative,-0.15355869307061554,0.3110195030403435,0.3110195030403435
10,0.570406268170738,0.6704725633794457,Positive,0.14864553023995591,-0.1518166690450039,0.14864553023995591
11,0.7958214357802016,0.9552623185949718,Negative,0.35234168438810576,0.45519501461550615,0.45519501461550615
12,0.5730662376348445,0.909471249871826,Negative,-0.4853694959925356,-0.04860649286228394,-0.04860649286228394
13,0.4723349895189731,0.7331852317259554,Positive,0.22165612954185843,-0.2299354915764275,0.22165612954185843
14,0.3727264821445422,0.24077081850012905,Positive,0.766740462901386,-0.1549473714427796,0.766740462901386
15,0.8759621662344264,0.12615738216325822,Positive,0.23419921843199965,-0.28595250915364334,0.23419921843199965
16,0.5334853655898251,0.22875420060762708,Positive,0.5364126892774524,-0.10103758291379791,0.5364126892774524
17,0.2127035473006068,0.04015656069344309,Positive,0.1078746732005419,0.008272875109274089,0.1078746732005419
18,0.19529514129431758,0.6367630747576124,Negative,-0.05100284790889689,0.3855045446845889,0.3855045446845889
19,0.5603795563063126,0.2574426895076706,Positive,0.14190966832947224,-0.49213824675564977,0.14190966832947224
20,0.41053812734613937,0.20358635504564082,Positive,0.6119665360196287,0.11958299695810871,0.6119665360196287
21,0.6699169685479972,0.7251422962901013,Positive,0.3144316783255119,0.045583283197460966,0.3144316783255119
22,0.7330495516050921,0.6879132703985491,Positive,0.5393784324162993,-0.06833815930484624,0.5393784324162993
23,0.3099390695332006,0.48610445290802995,Negative,-0.1993766194689492,2.7406905556891237E-4,2.7406905556891237E-4
24,0.43423542521906777,0.8096345859256558,Negative,0.1847286135539873,0.26411573899672974,0.26411573899672974
25,0.32618000077314646,0.046184381802605534,Negative,-0.3164789154870832,-0.007506776285061377,-0.007506776285061377
26,0.2594467756060941,0.03418263401160648,Positive,0.329547982080211,-0.39268424827878606,0.329547982080211
27,0.6781404906586662,0.7231920724040304,Positive,0.33466739242442833,0.11554830031113061,0.33466739242442833
28,0.19575448071814094,0.6653100981043514,Negative,0.0646012402674285,0.49657230933148494,0.49657230933148494
29,0.3105164389165397,0.9672254446155102,Negative,0.00608767256758392,0.4357081848840365,0.4357081848840365
30,0.5042022172763518,0.0801134000908893,Positive,0.48413564622041827,-0.4491846141134988,0.48413564622041827
31,0.2198863634874575,0.8608594403482553,Negative,-0.057475783763752876,0.296916523896529,0.296916523896529
32,0.6875477914810263,0.977794719423007,Negative,-0.2882644095320209,0.3300633701958648,0.3300633701958648
33,0.2809603055588562,0.1847990927657941,Negative,0.3081672022184088,-0.31025091021303625,0.3081672022184088
34,0.7619773526297811,0.7440092616931177,Positive,0.3120740427105072,-0.23332631400296416,0.3120740427105072
35,0.8541037529500489,0.6085972762534755,Positive,-0.13728233881089952,-0.39052106629047784,-0.13728233881089952
36,0.3531824908674409,0.812800789365185,Negative,0.3697058589866561,0.4605688647695641,0.4605688647695641
37,0.8554778358510118,0.1804483963039294,Negative,0.15099921330969635,0.4752932474884691,0.4752932474884691
38,0.07303782218387234,0.15992566634403982,Negative,-0.40196858311707523,0.13836975871297694,0.13836975871297694
39,0.7492386807163128,0.3933523326213879,Positive,0.2163339320212948,-0.11479983884620613,0.2163339320212948
40,0.019488504304632004,0.7302856133855569,Positive,0.34050178098079625,0.26815059285316595,0.34050178098079625
41,0.48470964533354655,0.8147413496656276,Positive,-0.03507742832116509,-0.30382182768987587,-0.03507742832116509
42,0.48527319898263066,0.8115488459011111,Negative,-0.29354598626050743,-0.08414763093543697,-0.08414763093543697
43,0.780351198047716,0.5871249939965211,Negative,0.34189802109276207,-0.2399569347302506,0.34189802109276207
44,0.6027009232107585,0.04914701281326439,Positive,0.44431177242017567,0.10489016123795734,0.44431177242017567
45,0.6455350296980795,0.5527467925035469,Positive,0.6742922307348167,-0.2006195112020741,0.6742922307348167
46,0.16080917238662962,7.94160732202287E-4,Negative,0.16153926773346655,0.32889923108610125,0.32889923108610125
47,0.43240264537073136,0.052223949013542326,Positive,0.05856809437427662,-0.15603053292136954,0.05856809437427662
48,0.7115981936032674,0.8630116548490873,Positive,0.04001400277948422,-0.34311935382669273,0.04001400277948422
49,0.8880813249502388,0.11031763585173626,Negative,0.03234892328327585,0.3404382396275389,0.3404382396275389
50,0.8239244112699994,0.5510571728276483,Negative,-0.18435792343373736,0.13551930371479015,0.13551930371479015
51,0.8932677744748667,0.45107962661950907,Negative,-0.1769281711135815,0.3767018406215842,0.3767018406215842
52,0.8112105741776814,0.6000732877615584,Negative,0.27349558184079176,0.06569639325502792,0.27349558184079176
53,0.5706646985654434,0.6272123876484064,Positive,0.3872567427500719,-0.3087031126478181,0.3872567427500719
54,0.2850041483923852,0.7026263887910718,Negative,0.05088468126195453,0.4589585669447652,0.4589585669447652
55,0.6539620871366297,0.9856924853520072,Positive,0.3448706798825217,-0.26516190483321905,0.3448706798825217
56,0.6311003972786546,0.7683327821110784,Negative,-0.3743660048000462,-0.3254612508351994,-0.3254612508351994
57,0.1732786281455828,0.4194549868798242,Positive,0.0697710058582001,-0.4066242070725193,0.0697710058582001
58,0.2745124401096939,0.5404723441765862,Negative,-0.08443203111441724,-0.045914873755811894,-0.045914873755811894
59,0.5322318739089698,0.2950874813802876,Positive,0.6877914436304875,0.3514357030600302,0.6877914436304875
