number,x,y,opinion,Q_pos,Q_neg,Q
0,0.8756004928657953,0.7502802715126848,Negative,0.761456433101475,-0.19030755245533226,0.761456433101475
1,0.5466205407312354,0.08774741747068249,Negative,0.7935888119026766,-0.49185674795832435,0.7935888119026766
2,0.13146957125383885,0.4180270883389565,Positive,0.015337426827581865,-0.03715558361525653,0.015337426827581865
3,0.4264951574809027,0.04366706664031628,Positive,0.6143512812920598,0.05175389197396057,0.6143512812920598
4,0.2597307143347314,0.9523345038540657,Negative,-0.2982638014856681,0.7164608959532669,0.7164608959532669
5,0.041310208844623775,0.6740452920408152,Negative,-0.2598254412372559,0.8923848421114419,0.8923848421114419
6,0.27545575239950815,0.1947014109892249,Positive,0.8276566666927918,-0.05649358843160469,0.8276566666927918
7,0.4738712955937562,0.06386286298383637,Positive,0.9029215917044634,-0.0031283281602563218,0.9029215917044634
8,0.25497365776022585,0.30409943707581133,Positive,0.7180668617689492,-0.3589362690403996,0.7180668617689492
9,0.09521685427038729,0.48044879486570624,Negative,-0.17428238447141892,0.4342856125869404,0.4342856125869404
10,0.570406268170738,0.6704725633794457,Positive,0.5248422552915362,-0.19076981165168172,0.5248422552915362
11,0.7958214357802016,0.9552623185949718,Positive,0.7059043590603328,0.13904907173389824,0.7059043590603328
12,0.5730662376348445,0.909471249871826,Negative,-0.36376867162660015,0.36550253012956413,0.36550253012956413
13,0.4723349895189731,0.7331852317259554,Positive,-0.11419744914213188,-0.24951594209033945,-0.11419744914213188
14,0.3727264821445422,0.24077081850012905,Positive,0.9309805060961682,-0.31169935246121544,0.9309805060961682
15,0.8759621662344264,0.12615738216325822,Positive,0.24962249846839618,-0.2605721395111631,0.24962249846839618
16,0.5334853655898251,0.22875420060762708,Positive,0.8235632634816157,-0.1372118931297725,0.8235632634816157
17,0.2127035473006068,0.04015656069344309,Negative,0.6780117949228094,-0.1486358466391945,0.6780117949228094
18,0.19529514129431758,0.6367630747576124,Negative,-0.08043409397011614,0.6005414698207827,0.6005414698207827
19,0.5603795563063126,0.2574426895076706,Positive,0.6968006078014644,-0.3217762564541929,0.6968006078014644
20,0.41053812734613937,0.20358635504564082,Positive,0.8586122728395729,0.0021573484161105036,0.8586122728395729
21,0.6699169685479972,0.7251422962901013,Negative,0.8358288016789203,-0.14994958254848362,0.8358288016789203
22,0.7330495516050921,0.6879132703985491,Positive,0.7509993372233802,-0.03670668576795923,0.7509993372233802
23,0.3099390695332006,0.48610445290802995,Negative,-0.1993766194689492,0.20411034536924372,0.20411034536924372
24,0.43423542521906777,0.8096345859256558,Negative,0.1466136308941124,0.26152440351495176,0.26152440351495176
25,0.32618000077314646,0.046184381802605534,Positive,0.4838249095893194,-0.2890340545790109,0.4838249095893194
26,0.2594467756060941,0.03418263401160648,Positive,0.907231058885825,-0.44873041689874726,0.907231058885825
27,0.6781404906586662,0.7231920724040304,Positive,0.8087832280436439,-0.08971949084078573,0.8087832280436439
28,0.19575448071814094,0.6653100981043514,Negative,0.0030124883742864914,0.5330156341049939,0.5330156341049939
29,0.3105164389165397,0.9672254446155102,Negative,-0.2215085375134619,0.6975031242776162,0.6975031242776162
30,0.5042022172763518,0.0801134000908893,Positive,0.8063295747175797,-0.5418358837106851,0.8063295747175797
31,0.2198863634874575,0.8608594403482553,Negative,-0.08044272834426396,0.7875623102883555,0.7875623102883555
32,0.6875477914810263,0.977794719423007,Positive,0.369261092860805,-0.1669690525082669,0.369261092860805
33,0.2809603055588562,0.1847990927657941,Positive,0.6897021829856993,-0.39797103753162777,0.6897021829856993
34,0.7619773526297811,0.7440092616931177,Positive,0.5075694592417292,-0.16923626566800126,0.5075694592417292
35,0.8541037529500489,0.6085972762534755,Positive,0.7698748100433086,-0.38434888457335825,0.7698748100433086
36,0.3531824908674409,0.812800789365185,Negative,0.17435156084868425,0.7007511787270788,0.7007511787270788
37,0.8554778358510118,0.1804483963039294,Negative,0.13560450464636536,0.13992971038070878,0.13992971038070878
38,0.07303782218387234,0.15992566634403982,Negative,-0.5128996732525022,-0.0029846657950300393,-0.0029846657950300393
39,0.7492386807163128,0.3933523326213879,Positive,0.42954620964990675,-0.1478608644272663,0.42954620964990675
40,0.019488504304632004,0.7302856133855569,Negative,0.23151510056988106,0.31546473010653736,0.31546473010653736
41,0.48470964533354655,0.8147413496656276,Positive,-0.0823989031632463,-0.15222102753982691,-0.0823989031632463
42,0.48527319898263066,0.8115488459011111,Negative,-0.3943039899701025,0.26034504231570366,0.26034504231570366
43,0.780351198047716,0.5871249939965211,Positive,0.7679846913122299,-0.3118931644151995,0.7679846913122299
44,0.6027009232107585,0.04914701281326439,Negative,0.6426332446294793,-0.006909563095097548,0.6426332446294793
45,0.6455350296980795,0.5527467925035469,Positive,0.7796565251627428,-0.330931260160796,0.7796565251627428
46,0.16080917238662962,7.94160732202287E-4,Positive,0.37504228859768113,0.2586209609499695,0.37504228859768113
