a1 number,a2 number,r
60,83,0.06851869772502872
60,96,0.16949152682349009
60,98,0.16481706850441746
61,69,0.1469346530892541
61,85,0.0937092007710742
61,92,0.07540080184972683
61,94,0.13962000561704022
62,68,0.08789993631851206
62,88,0.1254087311992337
63,65,0.17074592557629126
63,87,0.09483389592546984
63,95,0.0382753410104386
64,77,0.055618761540909896
64,79,0.1539083937578429
65,66,0.06664372072975341
65,70,0.08274333386189497
65,77,0.13414592313376825
65,80,0.14631247229130226
65,86,0.032570653647614176
65,95,0.13869284242038485
66,70,0.016196236438767986
66,80,0.08783961069717766
66,86,0.07143004988516687
66,95,0.16930618161193806
67,76,0.02247085094540537
67,80,0.12708859163288128
68,73,0.12972045775992008
68,83,0.17474322635471257
68,88,0.10757963395269839
69,92,0.16301292142998275
69,94,0.0768931663785274
70,80,0.0743960698052927
70,86,0.08534151299471283
71,92,0.17424545466335692
72,75,0.053122047222683794
72,81,0.056537231685072555
73,88,0.15697412707111646
73,96,0.04789160652093887
74,78,0.13421971894972276
74,91,0.0823411477933311
75,81,0.08137149034100741
75,89,0.1559935330415703
76,80,0.1472806887367589
77,79,0.1263979944644829
77,86,0.12497859651483324
78,87,0.16061626301387438
80,86,0.13475526179235775
81,88,0.1715063556966292
82,83,0.10862152202958965
83,93,0.161673399914431
83,98,0.12448033416515347
85,92,0.1215538598447256
86,95,0.1708324633036396
87,95,0.08308377481270951
88,89,0.17076675789147602
90,91,0.12395120819001651
93,98,0.12349599498294818
