a1 number,a2 number,r
16,88,0.039851702311573235
17,24,0.1327872450280402
17,37,0.06839077457653508
17,44,0.0677431586327297
17,54,0.14628934438968816
17,56,0.09757557630022222
17,64,0.05058575041684681
17,77,0.10864667895987133
17,84,0.1325005403452577
17,92,0.08817705825226668
18,23,0.03175250777695818
18,30,0.12478116457462052
18,76,0.149011103800997
18,89,0.16737628261419912
18,95,0.056551439018080366
19,47,0.024978384167281112
19,63,0.0974825041756959
19,80,0.1023861108825878
20,52,0.127676759530494
20,66,0.14708660769053875
20,69,0.0639949582927248
20,70,0.12161024361261924
20,78,0.042446083946180366
20,86,0.12409099090339828
20,99,0.16990724516133987
21,28,0.12740909039037554
21,33,0.13440866555691036
21,38,0.06840704513801635
21,50,0.11246591224557001
21,53,0.15714727113872146
21,60,0.11036653835287666
21,74,0.036268639761460525
21,79,0.09295439913802403
22,27,0.06451470444067496
22,32,0.1634623587863166
22,39,0.06927909631997509
22,43,0.035654064757126354
22,58,0.17199450735114882
22,59,0.15684154297495428
22,65,0.07098459385260868
22,76,0.15410287228690392
23,30,0.10713858085906132
23,32,0.1671831287674272
23,76,0.13542974017227113
23,95,0.0835242083953297
24,44,0.15566725161191688
24,54,0.1530788866401449
24,64,0.15287206277935117
24,77,0.1605370711625106
24,84,0.1293045249504862
24,89,0.15081201865476015
24,92,0.058140531151492494
25,34,0.07620913064204352
25,41,0.12369952117673502
25,51,0.035564024788445954
25,61,0.062346195030734464
25,68,0.03050318990509531
25,83,0.0123120664323333
25,97,0.0657677839232639
26,46,0.08581527811471841
26,48,0.06315120107388676
26,49,0.12049194568465041
26,67,0.15079760748368776
26,73,0.052177110061708665
26,87,0.13363085247578843
26,94,0.1577380036456727
26,96,0.0851469899236664
26,98,0.09419139593493282
27,39,0.06358091993689716
27,42,0.14809862435237092
27,43,0.07535283109287405
27,58,0.10768364198054799
27,59,0.11076803490005395
27,65,0.08432467269608748
28,40,0.09156286421913422
28,53,0.06989964663074129
28,60,0.04584228720699566
28,74,0.09432556855945488
28,75,0.1408073648085314
29,31,0.14890472491376683
29,58,0.17051433297815927
29,59,0.16447087770778862
29,62,0.13357196922763168
30,88,0.08166553486752554
31,36,0.09984620113878913
31,62,0.04097615214004063
31,87,0.17202985988407923
31,98,0.14809346754716324
31,99,0.11550661925016338
32,39,0.13817315870794605
32,43,0.13060572908965115
32,54,0.16027470542565425
32,65,0.11449987800826138
32,71,0.12418192961715623
32,76,0.03304826765703088
32,89,0.13028582983787257
32,95,0.1739412404488792
33,38,0.09453274622511597
33,50,0.04816275511818794
33,74,0.16856147187774195
33,79,0.10381839349287908
33,88,0.16483196255539395
34,51,0.10578206571913443
34,61,0.12946914004667373
34,68,0.05805033494341147
34,83,0.0690435500969868
34,90,0.12255111527097061
34,91,0.1702872397835478
34,97,0.13134846613978376
35,36,0.12221687805303243
35,69,0.15007055154533508
35,85,0.05866312035780903
35,86,0.0789339864621996
35,87,0.11922774242157767
35,99,0.10370647222831982
36,62,0.11147500420324459
36,69,0.16491107904022032
36,85,0.16554859436716443
36,86,0.10848091348697701
36,99,0.021134812452154872
37,44,0.1194441240268836
37,56,0.12240274106366447
37,64,0.10101075908616745
37,77,0.16504077732140304
37,92,0.1544026319486557
38,50,0.0546541379195893
38,74,0.10334796087288332
38,79,0.11706295450437675
39,43,0.0457863399972395
39,58,0.15014500244720705
39,59,0.09558687157765887
39,65,0.024649510291438456
39,76,0.1435680085484648
40,53,0.024831138494956037
40,60,0.07297414084570206
40,74,0.14499092101562316
40,75,0.07389305392534791
41,51,0.12268665431432366
41,52,0.10070229275409748
41,61,0.06146689381379508
41,66,0.13456438772683962
41,68,0.15414134955079162
41,83,0.1242972771579934
41,97,0.058514629815721995
42,55,0.0729311814666615
42,58,0.11482342955010034
42,81,0.1698512272965636
43,59,0.1410055946854827
43,65,0.03808216175543687
43,76,0.12519640913533983
44,54,0.09402486324961838
44,56,0.05079705787908628
44,64,0.018693743485333113
44,71,0.12620730441108152
44,77,0.045746027192719585
44,84,0.08951972250350433
44,89,0.15147556002708767
44,92,0.0979316020474273
44,94,0.1570313046694913
45,57,0.14946874978108945
45,81,0.10818631015013457
45,82,0.1276916801014359
45,90,0.13994931066171787
45,91,0.13231612939542436
45,93,0.17260124007432565
46,48,0.056379650829815844
46,67,0.09189020756087399
46,73,0.11466245335778646
46,87,0.12888822841176492
46,96,0.16998919982931873
46,98,0.15736595825038754
47,63,0.07492259318187462
47,80,0.08148729800661876
48,49,0.1443400001277784
48,67,0.08866290869191959
48,73,0.06589235614787155
48,87,0.1653519290458026
48,94,0.14944897218165906
48,96,0.14373716027811456
48,98,0.15566016422172194
49,71,0.1639049021800797
49,73,0.07960243083920797
49,94,0.07628512250312404
49,96,0.09614479267303203
49,98,0.16331651918650972
50,55,0.1683093594594803
50,74,0.1487171654182477
50,79,0.11959736829377426
51,61,0.06763888316183346
51,62,0.1523352485593844
51,68,0.04915776259288688
51,83,0.04773767206969898
51,97,0.07217263281298059
52,61,0.15975837032686188
52,66,0.05209337257954898
52,70,0.14867775090723565
52,78,0.167704607400318
52,97,0.15759509388009507
53,60,0.048258986444712625
53,74,0.12107524115117665
53,75,0.07837883278929232
54,56,0.12799191917577973
54,64,0.11043371071809688
54,71,0.04100456636507
54,76,0.17417564101671165
54,77,0.05202715535195289
54,84,0.02379015328761339
54,89,0.0626157191910524
54,92,0.10682615793624854
54,94,0.13226829827119171
55,81,0.16282153372154046
56,64,0.05411449377112004
56,71,0.14982640270357317
56,77,0.07628802716326918
56,84,0.13087023905058387
56,92,0.14832699549142797
56,94,0.1423809645472505
57,82,0.1527731199132148
58,59,0.11075318050872435
58,65,0.17479451215096412
59,65,0.11372117743282076
60,74,0.07409794836633668
60,75,0.10066675642131231
60,79,0.16418600518859428
61,68,0.09284118536604108
61,83,0.06302123118963363
61,97,0.004635396104245825
62,99,0.13098103768593172
63,80,0.013306155628646111
64,71,0.14411515267188282
64,77,0.06403053786308745
64,84,0.10340948714397966
64,89,0.1655932672784121
64,92,0.09683704282603449
64,94,0.1740344120958964
65,76,0.11892731111172945
66,70,0.12176021848295641
67,73,0.14788213500899242
68,83,0.033704736948375114
68,90,0.16053332576281862
68,97,0.09626657565254314
69,78,0.05252285727593326
69,85,0.12621713080576108
69,86,0.07522703795271295
69,99,0.14798315352015887
70,78,0.12485550228790646
71,76,0.1425026605198251
71,77,0.08060327439091403
71,84,0.06320795118252305
71,89,0.06577731549539217
71,92,0.14713106386317668
71,94,0.10941655047148272
73,94,0.10560461365629045
73,96,0.09366789336608397
73,98,0.13292805069325114
74,75,0.14694741904640285
74,79,0.10945774011905261
76,89,0.13311525416555522
76,95,0.15132070914625112
77,84,0.05597146557497637
77,89,0.1136396164081516
77,92,0.10411312750275806
77,94,0.12559704812425923
78,86,0.1269743275754096
79,88,0.15722450090410128
81,82,0.111446883037995
81,90,0.17440270910627623
83,97,0.06578333262390085
84,89,0.06218955641722671
84,92,0.08392944264213446
84,94,0.15458251110383975
85,86,0.07892375987943713
85,87,0.16446061865819178
85,99,0.14481027818435996
86,99,0.08802508949626174
87,96,0.17025468240980612
87,98,0.10904833713460993
89,92,0.125622245424653
89,95,0.12319990155070758
90,91,0.11377285153983042
91,93,0.07222459177985545
94,96,0.16618641862200562
96,98,0.07046704789212273
